data.name,total_reading
TRIP_SEGMENTATION/create_dist_filter,0.0007313014939427376
TRIP_SEGMENTATION/create_places_and_trips,898.8943833005615
TRIP_SEGMENTATION/create_time_filter,0.0006886199116706848
TRIP_SEGMENTATION/get_data_df,19.814455050975084
TRIP_SEGMENTATION/get_filters_in_df,0.04163817735388875
TRIP_SEGMENTATION/get_time_range_for_segmentation,1.295420645736158
TRIP_SEGMENTATION/get_time_series,0.006937593221664429
TRIP_SEGMENTATION/handle_out_of_order_points,0.6452724426053464
TRIP_SEGMENTATION/segment_into_trips_dist/check_transitions_post_loop,0.14253014279529452
TRIP_SEGMENTATION/segment_into_trips_dist/continue_just_ended,0.018073050770908594
TRIP_SEGMENTATION/segment_into_trips_dist/get_filtered_points_df,3.4483795929700136
TRIP_SEGMENTATION/segment_into_trips_dist/get_last_trip_end_point,0.0037858858704566956
TRIP_SEGMENTATION/segment_into_trips_dist/get_transition_df,3.2864378141239285
TRIP_SEGMENTATION/segment_into_trips_dist/handle_trip_end,0.00725590018555522
TRIP_SEGMENTATION/segment_into_trips_dist/has_trip_ended,1145.2549848565832
TRIP_SEGMENTATION/segment_into_trips_dist/mark_valid,0.010599400848150253
TRIP_SEGMENTATION/segment_into_trips_dist/post_loop,0.2602259749546647
TRIP_SEGMENTATION/segment_into_trips_dist/set_new_trip_start_point,4.761526361107826e-05
TRIP_SEGMENTATION/segment_into_trips_time/calculations_per_iteration,57.19626232050359
TRIP_SEGMENTATION/segment_into_trips_time/filter_bogus_points,0.11799197364598513
TRIP_SEGMENTATION/segment_into_trips_time/get_filtered_points_pre_ts_diff_df,7.322775396518409
TRIP_SEGMENTATION/segment_into_trips_time/get_transition_df,5.876063827890903
TRIP_SEGMENTATION/segment_into_trips_time/has_trip_ended,32960.58089421503
TRIP_SEGMENTATION/segment_into_trips_time/loop,33099.98325419519
TRIP_SEGMENTATION/segment_into_trips_time/post_loop,0.19037577090784907
